14442;MS-C1340;Lineaarialgebra ja differentiaaliyhtälöt;Linear algebra and differential equations;Linjär algebra och differentialekvationer;31.10.2016 - 15.12.2016;II, V (lv 2016-2017);5
14441;MS-C1300;Kompleksianalyysi;Complex analysis;Komplex analys;31.10.2016 - 12.12.2016;II (syksy);5
14440;MS-C1080;Algebran perusrakenteet;Introduction to abstract algebra;Algebrans grundstrukturer;03.01.2017 - 09.02.2017;III (kevät);5
14439;MS-A0509;Grundkurs i sannolikhetskalkyl och statistik;First course in probability and statistics;Grundkurs i sannolikhetskalkyl och statistik;02.01.2017 - 15.02.2017;III (kevät);5
14438;MS-A0504;First course in probability and statistics;First course in probability and statistics;First course in probability and statistics;20.02.2017 - 04.04.2017;IV (Spring);5
14437;MS-A0503;Todennäköisyyslaskennan ja tilastotieteen peruskurssi;First course in probability and statistics;Grundkurs i sannolikhetskalkyl och statistik;02.01.2017 - 15.02.2017;III (kevät);5
14436;MS-A0502;Todennäköisyyslaskennan ja tilastotieteen peruskurssi;First course in probability and statistics;Grundkurs i sannolikhetskalkyl och statistik;31.10.2016 - 12.12.2016;II (syksy);5
14435;MS-A0501;Todennäköisyyslaskennan ja tilastotieteen peruskurssi;First course in probability and statistics;Grundkurs i sannolikhetskalkyl och statistik;12.09.2016 - 24.10.2016;I (syksy);5
14434;MS-A0409;Grundkurs i diskret matematik;Foundations of discrete mathematics;Grundkurs i diskret matematik;12.09.2016 - 27.10.2016;I (syksy);5
14433;MS-A0402;Diskreetin matematiikan perusteet;Foundations of discrete mathematics;Grundkurs i diskret matematik;20.02.2017 - 04.04.2017;IV (kevät);5
14432;MS-A0401;Diskreetin matematiikan perusteet;Foundations of discrete mathematics;Grundkurs i diskret matematik;12.09.2016 - 27.10.2016;I (syksy);5
14431;MS-A0310;Mathematics 2;Mathematics 2;Mathematics 2;03.01.2017 - 13.02.2017;III (Spring);5
14430;MS-A0309;Differential- och integralkalkyl 3;Differential and integral calculus 3;Differential- och integralkalkyl 3;21.02.2017 - 06.04.2017;IV (kevät);5
